identifier,sent,status,msgType,senderName,event,responseType,urgency,severity,certainty,headline,description,instruction,areaDesc,date,time,description_clean,prediction,true_num,pred_num,error
NWS-IDP-PROD-4262367-3591199,2020-06-08T02:11:00.000Z,Actual,Update,NWS Rapid City SD,Severe Thunderstorm Warning,['Shelter'],Immediate,Severe,Observed,Severe Thunderstorm Warning issued June 7 at 9:11PM CDT until June 7 at 10:00PM CDT by NWS Rapid City SD,"At 911 PM CDT, severe thunderstorms were located along a line
extending from 2 miles west of Parmelee to 5 miles southwest of Wood,
moving northeast at 50 mph.

HAZARD...Two inch hail and 60 mph wind gusts.

SOURCE...Radar indicated.

IMPACT...People and animals outdoors will be injured. Expect hail
damage to roofs, siding, windows, and vehicles. Expect wind
damage to roofs, siding, and trees.

Locations impacted include...
Mission, White River, Rosebud, Parmelee, Wood, Cedar Butte and
Haystack Butte.","These storms are producing large hail. SEEK SHELTER NOW inside a
sturdy structure and stay away from windows.","Todd, SD; Mellette, SD",2020-06-08,02:11:00,"at 911 pm cdt, severe thunderstorms were located along a line extending from 2 miles west of parmelee to 5 miles southwest of wood, moving northeast at 50 mph. hazard...two inch hail and 60 mph wind gusts. source...radar indicated. impact...people and animals outdoors will be injured. expect hail damage to roofs, siding, windows, and vehicles. expect wind damage to roofs, siding, and trees. locations impacted include... mission, white river, rosebud, parmelee, wood, cedar butte and haystack butte.",Severe,3,3,0
urn:oid:2.49.0.1.840.0.c68ba80eee3ed70e6ee1a37ac11284e83d97a749.001.2,2022-12-22T16:30:00.000Z,Actual,Update,NWS Des Moines IA,Blizzard Warning,['Prepare'],Expected,Extreme,Likely,Blizzard Warning issued December 22 at 10:30AM CST until December 24 at 6:00AM CST by NWS Des Moines IA,"* WHAT...For the Winter Storm Warning, winds gusting as high as
40 mph this morning. For the Blizzard Warning, blizzard
conditions expected. Winds gusting as high as 50 mph or more.
Extreme cold and wind chills of 20 to 40 below zero will be
common and dropping to near 45 below tonight and Friday morning.

* WHERE...Much of Central and Northern Iowa along and north of
Interstate 80.

* WHEN...For the Winter Storm Warning, until noon CST today. For
the Blizzard Warning, from noon today to 6 AM CST Saturday.

* IMPACTS...Plan on snow and ice covered road conditions.
Widespread blowing snow will significantly reduce visibility.
The hazardous conditions will impact the morning and evening
commutes. Strong winds could bring down tree branches. The
dangerously cold wind chills as low as 45 below zero could cause
frostbite on exposed skin in as little as 10 minutes.

* ADDITIONAL DETAILS...The combination of blowing snow, blizzard
conditions, and extreme cold will be extremely hazardous and
life threatening if stranded outside.
","If you must travel, keep an extra flashlight, food, and water in
your vehicle in case of an emergency.

Travel should be restricted to emergencies only. If you must
travel, have a winter survival kit with you. If you get stranded,
stay with your vehicle.

For the latest travel conditions, check the Iowa 511 app,
www.511ia.org, or dial 511.",,2022-12-22,16:30:00,"* what...for the winter storm warning, winds gusting as high as 40 mph this morning. for the blizzard warning, blizzard conditions expected. winds gusting as high as 50 mph or more. extreme cold and wind chills of 20 to 40 below zero will be common and dropping to near 45 below tonight and friday morning. * where...much of central and northern iowa along and north of interstate 80. * when...for the winter storm warning, until noon cst today. for the blizzard warning, from noon today to 6 am cst saturday. * impacts...plan on snow and ice covered road conditions. widespread blowing snow will significantly reduce visibility. the hazardous conditions will impact the morning and evening commutes. strong winds could bring down tree branches. the dangerously cold wind chills as low as 45 below zero could cause frostbite on exposed skin in as little as 10 minutes. * additional details...the combination of blowing snow, blizzard conditions, and extreme cold will be extremely hazardous and life threatening if stranded outside.",Extreme,4,4,0
NWS-IDP-PROD-4256869-3587387,2020-06-06T00:37:00.000Z,Actual,Update,NWS New Orleans LA,Flood Warning,['Avoid'],Immediate,Severe,Observed,Flood Warning issued June 5 at 7:37PM CDT until June 8 at 7:00AM CDT by NWS New Orleans LA,"...The Flood Warning continues for the following rivers in
Louisiana...

Mississippi River At Baton Rouge affecting West Baton Rouge and
East Baton Rouge Parishes.
Mississippi River At Red River Landing affecting West Feliciana,
East Baton Rouge and Pointe Coupee Parishes.
Mississippi River At New Orleans affecting St. Bernard, Orleans,
Jefferson and Plaquemines Parishes.

The Flood Warning continues for
the Mississippi River At New Orleans.
* From late Sunday night to Monday morning.
* At 6:00 PM CDT Friday the stage was 14.3 feet.
* Flood stage is 17.0 feet.
* Minor flooding is forecast.
* Forecast...The river is expected to rise to a crest of 17.0 feet
early Monday morning then begin falling.
* Impact...At 13.0 feet, Strong eddies will develop below the gage
at Carrollton, with increased negative impacts on navigation.
* Impact...At 17.0 feet, The river level will continue making
navigation and docking difficult. The city is protected to a
project height of 20 feet.","A Flood Warning means that flooding is imminent or occurring. All
interested parties should take necessary precautions immediately.

Additional information is available at www.weather.gov.","Plaquemines, LA; Orleans, LA; St. Bernard, LA; Jefferson, LA",2020-06-06,00:37:00,"...the flood warning continues for the following rivers in louisiana... mississippi river at baton rouge affecting west baton rouge and east baton rouge parishes. mississippi river at red river landing affecting west feliciana, east baton rouge and pointe coupee parishes. mississippi river at new orleans affecting st. bernard, orleans, jefferson and plaquemines parishes. the flood warning continues for the mississippi river at new orleans. * from late sunday night to monday morning. * at 6:00 pm cdt friday the stage was 14.3 feet. * flood stage is 17.0 feet. * minor flooding is forecast. * forecast...the river is expected to rise to a crest of 17.0 feet early monday morning then begin falling. * impact...at 13.0 feet, strong eddies will develop below the gage at carrollton, with increased negative impacts on navigation. * impact...at 17.0 feet, the river level will continue making navigation and docking difficult. the city is protected to a project height of 20 feet.",Severe,3,3,0
NWS-130404-693968,2014-01-03T09:59:20.000Z,Actual,Alert,NWS Wichita KS,Extreme Fire Danger,['Prepare'],Expected,Moderate,Likely,Extreme Fire Danger issued January 3 at 3:59AM CST by NWS Wichita KS,"THE GFDI DOES NOT ACCOUNT FOR PRECIPITATION THAT OCCURS WITHIN
THE HOUR PRECEDING ANY GIVEN FORECAST HOUR BELOW OR ANY SNOW ON
THE GROUND AT THE FORECAST HOUR. PLEASE MAKE APPROPRIATE ADJUSTMENTS.(ALL TIME REFERENCES ARE IN CST)

DAY/DATE      24HR INDEX   *  MID  3AM  6AM  9AM NOON  3PM  6PM  9PM
FRI JAN 03  HIGH       11  *        L    M    M    H    H    M    M  
SAT JAN 04  MODERATE    7  *   M    L    L    L    M    M    M    L  
SUN JAN 05  LOW         2  *   L    L    L    L    L    L    L    L  
MON JAN 06  MODERATE    5  *   L    M    L    L    M    M    L    L  
TUE JAN 07  MODERATE    3  *   L    L    L    L    M    M    M    M  
WED JAN 08  MODERATE    3  *   M    M    L    L    L    L    L    L",,Rice,2014-01-03,09:59:20,the gfdi does not account for precipitation that occurs within the hour preceding any given forecast hour below or any snow on the ground at the forecast hour. please make appropriate adjustments.(all time references are in cst) day/date 24hr index * mid 3am 6am 9am noon 3pm 6pm 9pm fri jan 03 high 11 * l m m h h m m sat jan 04 moderate 7 * m l l l m m m l sun jan 05 low 2 * l l l l l l l l mon jan 06 moderate 5 * l m l l m m l l tue jan 07 moderate 3 * l l l l m m m m wed jan 08 moderate 3 * m m l l l l l l,Minor,2,1,-1
NWS-130404-679955,2013-12-24T23:22:11.000Z,Actual,Alert,NWS Upton NY,Special Weather Statement,['Execute'],Expected,Moderate,Observed,Special Weather Statement issued December 24 at 6:21PM EST by NWS Upton NY,"ESSEX...FAIRFIELD...HUDSON...KINGS (BROOKLYN)...NEW YORK
(MANHATTAN)...NORTHWESTERN NASSAU...PASSAIC...PUTNAM...QUEENS...
ROCKLAND AND WESTCHESTER COUNTIES...

AT 613 PM EST...THE NATIONAL WEATHER SERVICE WAS TRACKING A LINE OF 
SNOW SQUALLS EXTENDING FROM POUGHKEEPSIE NY TO CALDWELL NEW 
JERSEY...MOVING SOUTHEAST AT 25 MPH. BRIEF WHITEOUT CONDITIONS AND 
SNOW ACCUMULATIONS OF UP TO 1/2 INCH HAVE BEEN REPORTED WITH 
THIS ACTIVITY.

THE SNOW WILL BE BRIEFLY HEAVY...WITH WIND GUSTS UP TO 30 MPH...AND 
VISIBILITIES OF 1/4 MILE OR LESS. LESS THAN AN INCH OF SNOW IS 
EXPECTED...BUT TEMPERATURES WILL RAPIDLY FALL BELOW FREEZING CAUSING 
ANY WET SNOW AND SLUSH TO QUICKLY REFREEZE. 

ANYONE TRAVELING INTO THIS EVENING IS URGED TO USE EXTRA CAUTION.",,Bronx; Westchester; Nassau; Queens; Kings; Fairfield; Putnam; Orange; Rockland; Passaic; Bergen; Essex; Hudson; New York,2013-12-24,23:22:11,essex...fairfield...hudson...kings (brooklyn)...new york (manhattan)...northwestern nassau...passaic...putnam...queens... rockland and westchester counties... at 613 pm est...the national weather service was tracking a line of snow squalls extending from poughkeepsie ny to caldwell new jersey...moving southeast at 25 mph. brief whiteout conditions and snow accumulations of up to 1/2 inch have been reported with this activity. the snow will be briefly heavy...with wind gusts up to 30 mph...and visibilities of 1/4 mile or less. less than an inch of snow is expected...but temperatures will rapidly fall below freezing causing any wet snow and slush to quickly refreeze. anyone traveling into this evening is urged to use extra caution.,Moderate,2,2,0
NWS-IDP-PROD-4255859-3586739,2020-06-05T15:43:00.000Z,Actual,Alert,NWS Tampa Bay Ruskin FL,Coastal Flood Statement,['Monitor'],Expected,Minor,Likely,Coastal Flood Statement issued June 5 at 11:43AM EDT until June 8 at 8:00PM EDT by NWS Tampa Bay Ruskin FL,"* COASTAL FLOODING...Water levels will run between 1 to 3 feet
above normally dry ground.

* COASTAL FLOOD TIMING...During times of high tide saturday
morning through Sunday evening, especially during the Sunday
afternoon high tide cycle.

* COASTAL FLOOD IMPACTS...Minor coastal flooding.

* HIGH SURF...Between 4 to 7 feet.

* HIGH SURF TIMING...Saturday afternoon through early Monday
afternoon.

* HIGH SURF IMPACTS...Dangerous breaking waves and minor beach
erosion possible.

* RIP CURRENT TIMING...Increasing wave action will create rip
currents Saturday afternoon through Monday.

* RIP CURRENT IMPACTS...Rip currents can sweep even the best
swimmers away from shore into deeper water.","A High Surf Advisory means that high surf will affect beaches in
the advisory area...producing localized beach erosion and
dangerous swimming conditions.

Rip currents are powerful channels of water flowing quickly away
from shore...which occur most often at low spots or breaks in the
sandbar and in the vicinity of structures such as groins...
jetties and piers. For maximum safety...swim near a lifeguard.
Pay attention to flags and signs.

If you become caught in a rip current...yell for help. Remain
calm...do not exhaust yourself and stay afloat while waiting for
help. If you have to swim out of a rip current...swim parallel to
shore and back toward the beach when possible. Do not attempt to
swim directly against a rip current as you will tire quickly.",Coastal Sarasota; Coastal Lee; Coastal Manatee; Coastal Hillsborough; Coastal Charlotte; Pinellas,2020-06-05,15:43:00,"* coastal flooding...water levels will run between 1 to 3 feet above normally dry ground. * coastal flood timing...during times of high tide saturday morning through sunday evening, especially during the sunday afternoon high tide cycle. * coastal flood impacts...minor coastal flooding. * high surf...between 4 to 7 feet. * high surf timing...saturday afternoon through early monday afternoon. * high surf impacts...dangerous breaking waves and minor beach erosion possible. * rip current timing...increasing wave action will create rip currents saturday afternoon through monday. * rip current impacts...rip currents can sweep even the best swimmers away from shore into deeper water.",Moderate,1,2,1
NWS-IDP-PROD-4260651-3589950,2020-06-07T10:01:00.000Z,Actual,Cancel,NWS Elko NV,Frost Advisory,['AllClear'],Past,Minor,Observed,The Frost Advisory has been cancelled.,The Frost Advisory has been cancelled and is no longer in effect.,,Southeastern Elko County,2020-06-07,10:01:00,the frost advisory has been cancelled and is no longer in effect.,Minor,1,1,0
NWS-130404-684048-472869,2013-12-28T02:45:34.000Z,Actual,Update,NWS Peachtree City GA,Flood Statement,['Avoid'],Immediate,Severe,Observed,Flood Statement issued December 27 at 9:45PM EST by NWS Peachtree City GA,"OCMULGEE RIVER NEAR ABBEVILLE AFFECTING DODGE...TELFAIR AND WILCOX
  COUNTIES 

  COOSA RIVER NEAR PLANT HAMMOND AFFECTING FLOYD COUNTY 

  OCONEE RIVER NEAR OCONEE AFFECTING JOHNSON...THE FLOOD WARNING CONTINUES FOR
  THE COOSA RIVER NEAR PLANT HAMMOND.
* UNTIL FURTHER NOTICE. 
* AT 700 AM FRIDAY THE STAGE WAS 570.7 FEET...AND STEADY.
* MINOR FLOODING WILL CONTINUE. 
* FLOOD STAGE IS 570 FEET. 
* AT 570 FEET...MINOR FLOODING BEGINS OF WOODLANDS...FIELDS AND 
  PASTURE ALONG THE RIVER UPSTREAM AND DOWNSTREAM FROM THE GAGE 
  BEHIND PLANT HAMMOND. A BOAT RAMP NEAR THE INTAKES OF THE PLANT 
  WILL BE UNDER WATER.

&&",,Floyd,2013-12-28,02:45:34,ocmulgee river near abbeville affecting dodge...telfair and wilcox counties coosa river near plant hammond affecting floyd county oconee river near oconee affecting johnson...the flood warning continues for the coosa river near plant hammond. * until further notice. * at 700 am friday the stage was 570.7 feet...and steady. * minor flooding will continue. * flood stage is 570 feet. * at 570 feet...minor flooding begins of woodlands...fields and pasture along the river upstream and downstream from the gage behind plant hammond. a boat ramp near the intakes of the plant will be under water. &&,Severe,3,3,0
NWS-130404-680895,2013-12-25T14:23:09.000Z,Actual,Alert,NWS Wichita KS,Extreme Fire Danger,['Prepare'],Expected,Moderate,Likely,Extreme Fire Danger issued December 25 at 8:22AM CST by NWS Wichita KS,"THE GFDI DOES NOT ACCOUNT FOR PRECIPITATION THAT OCCURS WITHIN
THE HOUR PRECEDING ANY GIVEN FORECAST HOUR BELOW OR ANY SNOW ON
THE GROUND AT THE FORECAST HOUR. PLEASE MAKE APPROPRIATE ADJUSTMENTS.(ALL TIME REFERENCES ARE IN CST)

DAY/DATE      24HR INDEX   *  MID  3AM  6AM  9AM NOON  3PM  6PM  9PM
WED DEC 25  MODERATE    4  *                  L    M    M    L    L  
THU DEC 26  MODERATE    5  *   L    L    L    L    M    M    L    L  
FRI DEC 27  MODERATE    3  *   L    L    L    L    L    L    L    L  
SAT DEC 28  MODERATE    5  *   L    L    L    M    M    M    L    M  
SUN DEC 29  MODERATE    6  *   M    M    M    M    M    M    L    L  
MON DEC 30  LOW         1  *   L    L    L    L    L    L    L    L",,McPherson,2013-12-25,14:23:09,the gfdi does not account for precipitation that occurs within the hour preceding any given forecast hour below or any snow on the ground at the forecast hour. please make appropriate adjustments.(all time references are in cst) day/date 24hr index * mid 3am 6am 9am noon 3pm 6pm 9pm wed dec 25 moderate 4 * l m m l l thu dec 26 moderate 5 * l l l l m m l l fri dec 27 moderate 3 * l l l l l l l l sat dec 28 moderate 5 * l l l m m m l m sun dec 29 moderate 6 * m m m m m m l l mon dec 30 low 1 * l l l l l l l l,Minor,2,1,-1
urn:oid:2.49.0.1.840.0.4ed248d914582b840a5e75cf0605d1677b5b3881.004.1,2022-12-22T11:04:00.000Z,Actual,Alert,NWS Salt Lake City UT,Winter Storm Warning,['Prepare'],Expected,Severe,Likely,Winter Storm Warning issued December 22 at 4:04AM MST until December 22 at 4:00AM MST by NWS Salt Lake City UT,"Snow has decreased across the Wasatch Mountains this morning, with
additional accumulations of generally 1 inch or less across the
southern Wasatch. However, widespread winds gusting to 40-50 mph
with locally over 80 mph along exposed higher ridgelines will
continue to result in blowing snow through the morning hours.
",,,2022-12-22,11:04:00,"snow has decreased across the wasatch mountains this morning, with additional accumulations of generally 1 inch or less across the southern wasatch. however, widespread winds gusting to 40-50 mph with locally over 80 mph along exposed higher ridgelines will continue to result in blowing snow through the morning hours.",Moderate,3,2,-1
