identifier,sent,status,msgType,senderName,event,responseType,urgency,severity,certainty,headline,description,instruction,areaDesc,date,time,prediction,true_num,pred_num,error
NWS-IDP-PROD-2131960-1989982,2016-11-16T19:02:39.000Z,Actual,Update,NWS Riverton WY,Winter Weather Advisory,['Execute'],Expected,Moderate,Likely,Winter Weather Advisory issued November 16 at 12:01PM MST expiring November 17 at 9:00PM MST by NWS Riverton WY,"...SIGNIFICANT SNOWFALL INCREASING FROM WEST TO EAST ACROSS THE
FORECAST AREA TODAY .AN APPROACHING PACIFIC STORM SYSTEM WILL RESULT IN INCREASING
AREAS OF SNOW BECOMING MORE WIDESPREAD ACROSS WESTERN WYOMING
EARLY THIS AFTERNOON...TRANSLATING EAST OF THE DIVIDE AND SINKING
TO THE SOUTHEAST LATER THIS AFTERNOON AND EVENING. THE HEAVIEST
SNOW TODAY IS EXPECTED TO OCCUR OVER YELLOWSTONE...SOUTH INTO THE
TETON AND GROS VENTRE MOUNTAINS AND EAST INTO THE ABSAROKA
MOUNTAINS THIS EVENING. A STRONG COLD FRONT IS PUSHING INTO
NORTHERN WYOMING AND WILL MAKE IT INTO CENTRAL WYOMING LATER THIS
AFTERNOON...WITH LIGHT AREAS OF SNOWFALL BREAKING OUT THIS
AFTERNOON ACROSS NORTHERN WYOMING...SPREADING SOUTHWARD DURING
THIS EVENING INTO EARLY THURSDAY MORNING. HEAVIEST SNOW EAST OF
THE DIVIDE CAN BE EXPECTED TO FALL BETWEEN 3 AM TONIGHT AND 12
NOON THURSDAY. THE SNOW IS EXPECTED TO TAPER OFF FROM NORTHWEST
TO SOUTHEAST THURSDAY AFTERNOON INTO THE EVENING.* TIMING...SNOW IS EXPECTED TO DEVELOP BETWEEN MIDNIGHT TONIGHT
AND 6 AM...WITH LIGHT TO MODERATE SNOW EXPECTED THROUGH THE DAY
THURSDAY.

* SNOWFALL TOTALS...2 TO 4 INCHES.

* VISIBILITY AND WIND...STRONG NORTH WINDS OF 20 TO 30 MPH WITH
HIGHER GUSTS ARE EXPECTED TO DEVELOP MAINLY OVER THE EASTERN
TWO...THIRDS OF SWEETWATER COUNTY BETWEEN LATE THURSDAY MORNING
AND INTO THE AFTERNOON. THIS WIND COMBINED WITH BURST OF HEAVIER
SNOW WILL RESULT IN VISIBILITY UNDER A QUARTER MILE AT TIMES.

* MAIN IMPACT...ROADS WILL BECOME SLICK AND HAZARDOUS LATE
WEDNESDAY NIGHT. TRAVEL COULD BE DIFFICULT AT TIMES INCLUDING
ALONG INTERSTATE 80. HUNTERS IN THE AREA SHOULD EXPECT SNOW...
WET AND COLD CONDITIONS. ALSO LOW VISIBILITIES AT TIMES COULD
BE VERY DISORIENTATING.","A WINTER WEATHER ADVISORY FOR SNOW MEANS PERIODS OF SNOW WILL
CAUSE PRIMARILY TRAVEL DIFFICULTIES. BE PREPARED FOR SNOW COVERED
AND SLICK ROADS WITH LIMITED VISIBILITIES. SLOW DOWN... AND ALLOW
EXTRA TIME TO REACH YOUR DESTINATION. CHECK THE LATEST ROAD
CONDITIONS AT WYOROAD.INFO OR BY DIALING 5 1 1.

",Sweetwater,2016-11-16,19:02:39,Severe,2,3.0,1.0
NWS-IDP-PROD-2167232-2027336,2016-12-18T08:29:26.000Z,Actual,Update,NWS Memphis TN,Winter Weather Advisory,['Execute'],Expected,Moderate,Likely,Winter Weather Advisory issued December 18 at 2:29AM CST expiring December 18 at 6:00AM CST by NWS Memphis TN,".FREEZING RAIN AND SLEET WILL SLOWLY EXIT WEST TENNESSEE AND
EXTREME NORTH MISSISSIPPI BEFORE DAYBREAK. MINOR ACCUMULATIONS OF
ICE ARE EXPECTED...ESPECIALLY ON BRIDGES AND OVERPASSES.* SNOW/SLEET/ICE ACCUMULATIONS...UP TO ONE TENTH INCH ICE
ACCUMULATIONS...MINOR SLEET ACCUMULATIONS...NO SNOW
ACCUMULATIONS.

* TIMING...THROUGH 6 AM.

* IMPACTS...ELEVATED SURFACES SUCH AS BRIDGES MAY BECOME SLICK
AND HAZARDOUS. EXERCISE CAUTION IF DRIVING TONIGHT THROUGH
EARLY SUNDAY MORNING.","A WINTER WEATHER ADVISORY MEANS THAT PERIODS OF SNOW...SLEET...OR
FREEZING RAIN WILL CAUSE TRAVEL DIFFICULTIES. BE PREPARED FOR
SLIPPERY ROADS AND LIMITED VISIBILITIES...AND USE CAUTION WHILE
DRIVING.

",Weakley; Lake; Obion; Henry,2016-12-18,08:29:26,Severe,2,3.0,1.0
NWS-IDP-PROD-2132695-1990802,2016-11-17T12:35:58.000Z,Actual,Update,NWS Riverton WY,Winter Weather Advisory,['Execute'],Expected,Moderate,Likely,Winter Weather Advisory issued November 17 at 5:35AM MST expiring November 17 at 2:00PM MST by NWS Riverton WY,".A PACIFIC STORM SYSTEM WILL CONTINUE TO SPREAD SNOW ACROSS MUCH
OF CENTRAL AND WESTERN WYOMING THIS MORNING. THE SNOW WILL TAPER
OFF IN THE WEST THIS MORNING WHILE SIGNIFICANT SNOW CONTINUES IN
CENTRAL WYOMING THROUGH THIS AFTERNOON. A GUSTY NORTH WIND WILL
OCCUR IN SOME LOCATIONS. THE HEAVIEST SNOW EAST OF THE DIVIDE CAN
BE EXPECTED TO FALL THROUGH 12 NOON TODAY.* TIMING...SNOW WILL OCCUR OVERNIGHT THROUGH THURSDAY MORNING.
THE HEAVIEST SNOW WILL OCCUR THROUGH 10 AM THURSDAY MORNING.
THE SNOW IS THEN EXPECTED TO TAPER OFF BY LATE THURSDAY
MORNING.

* SNOWFALL TOTALS...2 TO 3 INCHES OF SNOW HAS FALLEN SO FAR AROUND
THE RIVERTON AREA. A SNOW TOTAL OF 3 TO 6 INCHES IS EXPECTED
WITH LOCAL AREAS SEEING UP TO 8 INCHES.

* VISIBILITY AND WIND...NORTH WINDS 15 TO 30 MPH IN COMBINATION
WITH BURSTS OF HEAVY SNOWFALL WILL RESULT IN VISIBILITY NEAR A
QUARTER MILE OR LESS AT TIMES.

* MAIN IMPACT...ROADS WILL BECOME SLICK AND HAZARDOUS. TRAVEL
COULD BE DIFFICULT AT TIMES. HUNTERS IN THE AREA SHOULD EXPECT
SNOW... WET AND COLD CONDITIONS. ALSO LOW VISIBILITIES AT
TIMES COULD BE VERY DISORIENTATING.","A WINTER WEATHER ADVISORY FOR SNOW MEANS PERIODS OF SNOW WILL
CAUSE PRIMARILY TRAVEL DIFFICULTIES. BE PREPARED FOR SNOW COVERED
AND SLICK ROADS WITH LIMITED VISIBILITIES. SLOW DOWN... AND ALLOW
EXTRA TIME TO REACH YOUR DESTINATION. CHECK THE LATEST ROAD
CONDITIONS AT WYOROAD.INFO OR BY DIALING 5 1 1.

",Fremont,2016-11-17,12:35:58,Severe,2,3.0,1.0
NWS-IDP-PROD-2161189-2020396,2016-12-15T09:30:33.000Z,Actual,Update,NWS Marquette MI,Winter Weather Advisory,['Execute'],Expected,Moderate,Likely,Winter Weather Advisory issued December 15 at 4:30AM EST expiring December 15 at 7:00PM EST by NWS Marquette MI,"...BLIZZARD CONDITIONS CONTINUE ACROSS THE KEWEENAW PENINSULA...
...HEAVY LAKE EFFECT SNOW WILL AFFECT THE FAR EASTERN U.P...HAZARDOUS WEATHER...

* LAKE EFFECT SNOW SHOWERS WILL CONTINUE UNTIL THIS EVENING MAINLY
FOR NORTHERN SCHOOLCRAFT COUNTY NORTH OF SENEY.

* THE COMBINATION OF HEAVY LAKE EFFECT SNOW AND BLOWING SNOW FROM
WEST TO NORTHWEST WINDS GUSTING TO 25 MPH WILL CREATE OCCASIONAL
WHITEOUT CONDITIONS AND RAPIDLY CHANGING CONDITIONS.

* THE HEAVIEST SNOWFALL RATES WILL OCCUR INTO THURSDAY MORNING.
WIND CHILLS WILL RANGE FROM 10 BELOW TO 15 BELOW ZERO THROUGH
THURSDAY MORNING.

* ADDITIONAL SNOWFALL ACCUMULATIONS THROUGH THURSDAY EVENING
WILL RANGE FROM AROUND AN INCH AT STEUBEN TO AS MUCH AS 10
INCHES OVER FAR NORTHERN SCHOOLCRAFT COUNTY.

IMPACTS...

* VISIBILITIES WILL BE REDUCED BELOW ONE HALF MILE IN LAKE
EFFECT SNOW AND BLOWING SNOW.

* ROADS WILL BE SNOW COVERED AND SLIPPERY.

* WIND CHILLS AS LOW AS 15 BELOW ZERO CAN PRODUCE FROSTBITE ON
EXPOSED SKIN IN AS LITTLE AS 30 MINUTES.","* A WINTER WEATHER ADVISORY MEANS HAZARDOUS WEATHER IS EXPECTED
FROM A COMBINATION OF SNOW...BLOWING SNOW AND LOW WIND
CHILLS.

* PREPARE...PLAN...AND STAY INFORMED. VISIT WWW.WEATHER.GOV/MQT

",Schoolcraft,2016-12-15,09:30:33,Severe,2,3.0,1.0
NWS-IDP-PROD-2243926-2108228,2017-02-13T22:30:55.000Z,Actual,Update,NWS Wakefield VA,Small Craft Advisory,['Avoid'],Expected,Minor,Likely,Small Craft Advisory issued February 13 at 5:30PM EST expiring February 13 at 7:00PM EST by NWS Wakefield VA,* WINDS...NORTHWEST 15 TO 20 KNOTS WITH GUSTS UP TO 25 KNOTS.,"A SMALL CRAFT ADVISORY MEANS WIND SPEEDS OF 20 TO 33 KNOTS OVER
THE RIVERS OF EASTERN VIRGINIA ARE EXPECTED TO PRODUCE HAZARDOUS
BOATING CONDITIONS TO SMALL CRAFT. INEXPERIENCED MARINERS...
ESPECIALLY THOSE OPERATING SMALLER VESSELS...SHOULD AVOID
NAVIGATING IN THESE CONDITIONS.

MARINERS SHOULD PAY CLOSE ATTENTION TO THE MARINE FORECAST...AND
CONSIDER WIND AND SEA CONDITIONS IN PLANNING.

",Rappahannock River from Urbanna to Windmill Point; York River; James River from Jamestown to the James River Bridge; James River from James River Bridge to Hampton Roads Bridge-Tunnel,2017-02-13,22:30:55,Severe,1,3.0,2.0
NWS-IDP-PROD-2149117,2016-12-04T05:12:36.000Z,Actual,Alert,NWS Lake Charles LA,Special Weather Statement,['Execute'],Expected,Moderate,Observed,Special Weather Statement issued December 3 at 11:12PM CST by NWS Lake Charles LA,"AT 1112 PM CST...DOPPLER RADAR WAS TRACKING STRONG THUNDERSTORMS
ALONG A LINE EXTENDING FROM NEAR PORT BARRE TO INDIAN BAYOU TO 7
MILES NORTH OF PECAN ISLAND. MOVEMENT WAS EAST AT 40 MPH.

WINDS IN EXCESS OF 40 MPH WILL BE POSSIBLE WITH THESE STORMS.

LOCATIONS IMPACTED INCLUDE...
LAFAYETTE...NEW IBERIA...OPELOUSAS...ABBEVILLE...CATAHOULA...SCOTT...
BREAUX BRIDGE...RAYNE...CARENCRO...ST. MARTINVILLE...KAPLAN...KROTZ
SPRINGS...LEONVILLE...ARNAUDVILLE...MELVILLE...FORKED ISLAND...
INTRACOASTAL CITY...AVERY ISLAND...BROUSSARD AND YOUNGSVILLE.","FREQUENT CLOUD TO GROUND LIGHTNING IS OCCURRING WITH THESE STORMS.
LIGHTNING CAN STRIKE 10 MILES AWAY FROM A THUNDERSTORM. SEEK A SAFE
SHELTER INSIDE A BUILDING OR VEHICLE.

",Acadia; St. Martin; St. Landry; Vermilion; Iberia; Lafayette,2016-12-04,05:12:36,Severe,2,3.0,1.0
NWS-IDP-PROD-2222396-2085729,2017-01-24T22:59:10.000Z,Actual,Alert,NWS San Juan PR,Rip Current Statement,['Avoid'],Expected,Moderate,Likely,Rip Current Statement issued January 24 at 6:58PM AST expiring January 25 at 6:00AM AST by NWS San Juan PR,"ALTHOUGH WAVE HEIGHTS WILL SLIGHTLY DECREASE OVERNIGHT DUE TO A
FADING NORTHEASTERLY SWELL, THE INCREASING NORTHERLY WINDS ALONG
WITH A NORTHWEST SWELL ARRIVING BY EARLY WEDNESDAY WILL MAINTAIN
A HIGH RISK OF RIP CURRENTS ON THE NORTHERN AND NORTHEASTERN COASTS
OF PUERTO RICO.THE NATIONAL WEATHER SERVICE IN SAN JUAN HAS ISSUED A HIGH RIP
CURRENT RISK...WHICH IS IN EFFECT UNTIL 6 AM AST WEDNESDAY.

* LOCATION...NORTH TO NORTHEAST FACING BEACHES OF PUERTO RICO.


* TIMING...OVERNIGHT THROUGH EARLY WEDNESDAY MORNING.

* IMPACTS...STRONG CURRENTS THAT CAN CARRY EVEN THE STRONGEST
SWIMMERS OUT TO SEA.","THERE IS A HIGH RISK OF RIP CURRENTS.

RIP CURRENTS ARE POWERFUL CHANNELS OF WATER FLOWING QUICKLY AWAY
FROM SHORE...WHICH OCCUR MOST OFTEN AT LOW SPOTS OR BREAKS IN THE
SANDBAR AND IN THE VICINITY OF STRUCTURES SUCH AS GROINS...
JETTIES AND PIERS. HEED THE ADVICE OF LIFEGUARDS...BEACH PATROL
FLAGS AND SIGNS.

IF YOU BECOME CAUGHT IN A RIP CURRENT...YELL FOR HELP. REMAIN
CALM...DO NOT EXHAUST YOURSELF AND STAY AFLOAT WHILE WAITING FOR
HELP. IF YOU HAVE TO SWIM OUT OF A RIP CURRENT...SWIM PARALLEL TO
SHORE AND BACK TOWARD THE BEACH WHEN POSSIBLE. DO NOT ATTEMPT TO
SWIM DIRECTLY AGAINST A RIP CURRENT AS YOU WILL TIRE QUICKLY.

",Barceloneta; Florida; Fajardo; Carolina; Camuy; Dorado; Aguada; Catano; Luquillo; Humacao; Bayamon; Rincon; Isabela; Ceiba; Mayaguez; Naguabo; Hatillo; Manati; San Juan; Arecibo; Toa Baja; Vega Baja; San German; Trujillo Alto; Canovanas; Hormigueros; Anasco; Guaynabo; Moca; Vega Alta; Aguadilla; Toa Alta; Quebradillas; Rio Grande; Loiza,2017-01-24,22:59:10,Severe,2,3.0,1.0
NWS-IDP-PROD-2256996-2121660,2017-02-26T04:58:05.000Z,Actual,Update,NWS Spokane WA,Winter Weather Advisory,['Execute'],Expected,Moderate,Likely,Winter Weather Advisory issued February 25 at 8:57PM PST expiring February 27 at 3:00PM PST by NWS Spokane WA,".A cold and unstable weather disturbance will slowly pivot
through the Inland Northwest and bring widespread persistent
light to moderate snow to the region. The snow will turn more
showery late Monday into Tuesday before tapering off. Small scale
bands of heavier snow will bring a wide variation in snow totals
over small areas.* Locations...Coeur d'Alene, Post Falls, Hayden, Worley,
Spokane, Cheney, Davenport, and Rockford.

* Snow Accumulations...2 to 4 inches tonight into Sunday and
another 2 to 4 inches Sunday night into Monday.

* Timing...Snow will develop overnight, continue through Sunday.
The snow may taper off Sunday evening, but redevelop late
Sunday night into Monday morning. Snow will decrease by Monday
afternoon.

* Impacts...Roadways are expected to become snow covered and
slippery. Motorists should prepare for winter driving
conditions...especially during the late night and morning
hours.

* Web Page: For a detailed view of the hazard area visit
http://www.wrh.noaa.gov/map/?wfo=otx.","A Winter Weather Advisory for snow means that periods of snow
will cause primarily travel difficulties. Be prepared for snow
covered roads and limited visibilities...and use caution while
driving.

",Lincoln; Kootenai; Spokane,2017-02-26,04:58:05,Severe,2,3.0,1.0
NWS-IDP-PROD-2260823-2125381,2017-03-01T04:13:50.000Z,Actual,Cancel,NWS Wichita KS,Severe Weather Statement,['Shelter'],Immediate,Severe,Observed,Severe Weather Statement issued February 28 at 10:13PM CST expiring February 28 at 10:30PM CST by NWS Wichita KS,"The severe thunderstorm which prompted the warning has moved out of
the warned area. Therefore, the warning has been cancelled.

A tornado watch remains in effect until 400 AM CST for southeastern
Kansas.","

",Cowley,2017-03-01,04:13:50,Minor,3,1.0,-2.0
NWS-IDP-PROD-2252724-2117529,2017-02-23T03:56:10.000Z,Actual,Update,NWS Riverton WY,Blizzard Warning,['Prepare'],Expected,Extreme,Likely,Blizzard Warning issued February 22 at 8:55PM MST expiring February 24 at 11:00AM MST by NWS Riverton WY,".A very strong winter storm is expected to move into Southern
Wyoming tonight and stall out during the day before slowly
winding down and shifting east of the area later Friday. The
heaviest snow for most areas will be later tonight through
Thursday. This storm system will also be accompanied by strong
winds in many areas with blizzard conditions expected along
Interstate 80 east of Rock Springs...over South Pass and in the
Jeffrey City...Sweetwater Station area later tonight through
Thursday.* Timing...Snow will spread across the range late this evening...and
become heavy at times from the predawn hours Thursday through
Thursday evening. Snow will continue through Thursday night...
before subsiding by mid day Friday.

* Snowfall...10 to 15 inches are expected...mainly on the
southern end of the mountains.

* WINDS/VISIBILITY...Northeast will increase overnight to 35 to
45 mph with gusts 55 to 65 mph causing blizzard conditions and
zero visibility through at least Thursday evening. Winds will
gradually decrease later Thursday night into Friday morning.

* Main impact...Travel will become difficult to impossible
across South Pass due to the snow producing slick...
snow-packed roads...and whiteout conditions due to strong
northeast winds developing early Thursday morning.","A Blizzard Warning means severe winter weather conditions are
expected or occurring. Falling and blowing snow with strong winds
and poor visibilities are likely. This will lead to whiteout
conditions...making travel extremely dangerous. Do not travel. If
you must travel...have a winter survival kit with you. If you get
stranded...stay with your vehicle.

",Sublette; Fremont,2017-02-23,03:56:10,Severe,4,3.0,-1.0
