identifier,sent,status,msgType,senderName,event,responseType,urgency,severity,certainty,headline,description,instruction,areaDesc,date,time,prediction,true_num,pred_num,error
NWS-IDP-PROD-2254127-2118995,2017-02-24T08:45:49.000Z,Actual,Update,NWS Pocatello ID,Winter Weather Advisory,['Execute'],Expected,Moderate,Likely,Winter Weather Advisory issued February 24 at 1:45AM MST expiring February 25 at 6:00AM MST by NWS Pocatello ID,"* IMPACTS...Snow and blowing snow will create reduced visibility
and slick roads, creating hazardous driving conditions.

* TIMING...Heaviest snow and strongest winds into early afternoon,
with the potential for another round of heavier snow showers
this evening.

* SNOW ACCUMULATIONS...Additional 1 to 3 inches at valley floors
with 3 to 7 inches in the mountains.

* CONFIDENCE...Medium to high on timing, medium on snowfall
amounts.

* LOCATIONS...Stanley, Clayton, St. Anthony, Ashton, Island Park,
Driggs, Victor, Hailey, Ketchum, Bellevue, Arco, Challis,
Mackay, Galena Summit.","for snow means that periods of snow and blowing snow will cause
primarily travel difficulties. Be prepared for snow covered roads
and limited visibilities, and reduce driving speeds.

",Custer; Clark; Butte; Teton; Fremont; Blaine; Madison,2017-02-24,08:45:49,Severe,2.0,3.0,1.0
NWS-IDP-PROD-2251324-2116049,2017-02-21T21:16:54.000Z,Actual,Update,NWS Medford OR,Winter Weather Advisory,['Execute'],Expected,Moderate,Likely,Winter Weather Advisory issued February 21 at 1:16PM PST expiring February 22 at 10:00AM PST by NWS Medford OR,".Snow showers will continue over the mountains through this 
evening, then a secondary cold front will move in from the north
tonight and produce an increase in snow intensity and coverage. At
the same time, snow levels will lower from around 3500 feet this 
afternoon to around 1500 feet late tonight. This will allow snow 
to fall on the lower passes of Interstate 5 between Grants Pass 
and Roseburg. While lower road surfaces are currently warm, they 
will cool overnight allowing snow to eventually stick to roadways.
Snow will have the greatest chance to accumulate on Interstate 5 
when it comes down hardest, and that is expected to occur as the 
front moves through around dawn Wednesday.* Snow accumulations... 2 to 4 inches in snow showers through this
evening, then another 4 to 8 inches in heavier snow overnight
and Wednesday morning.

* Snow levels...3500 feet this afternoon, falling to 1500 feet
overnight.

* Locations include...Highway 62 near Crater Lake, highway 230,
highway 58 at Willamette Pass, highway 138 at Diamond Lake
Summit.

* Impacts...Roads will be slippery with a mix of water, slush, and
snow through this evening, then become snow packed and hazardous
overnight as temperatures drop and snow increases. Visibilities
will also be limited at times, especially late tonight and
Wednesday morning.

* View the hazard area in detail at
http://weather.gov/medford/hazard","* Slow down and allow extra time to reach your destination.

* Carry tire chains and be prepared for snow covered roads and
limited visibilities.

* See weather.gov/Medford/Cams for latest road conditions.

* A Winter Weather Advisory for snow means that periods of snow
will cause travel difficulties.

",Douglas; Klamath; Jackson,2017-02-21,21:16:54,Severe,2.0,3.0,1.0
NWS-IDP-PROD-2227888,2017-01-31T17:39:45.000Z,Actual,Alert,NWS Bismarck ND,Special Weather Statement,['Execute'],Expected,Moderate,Observed,Special Weather Statement issued January 31 at 11:39AM CST by NWS Bismarck ND,"Areas of moderate to heavy snow will continue to move south
across far north central North Dakota into the northern James
River Valley through early this afternoon. Additional
accumulations up to 2 inches are possible from Bottineau through
Rugby.

Motorists are urged to slow down and allow extra time to reach
your destination. Be prepared for low visibilities in falling snow
and snow covered roads.","

",Rolette; Wells; Pierce; Foster; McHenry; Bottineau,2017-01-31,17:39:45,Severe,2.0,3.0,1.0
NWS-IDP-PROD-2258958-2123615,2017-02-28T06:58:53.000Z,Actual,Alert,NWS Honolulu HI,Special Marine Warning,['Avoid'],Immediate,Severe,Likely,Special Marine Warning issued February 27 at 8:58PM HST expiring February 27 at 11:00PM HST by NWS Honolulu HI,"THE NATIONAL WEATHER SERVICE IN HONOLULU HAS ISSUED A

* SPECIAL MARINE WARNING FOR...
ALENUIHAHA CHANNEL...

* UNTIL 1100 PM HST

* AT 857 PM HST...RADAR INDICATED A STRONG THUNDERSTORM CAPABLE OF
PRODUCING WINDS 34 KNOTS OR GREATER. THIS STORM WAS LOCATED 15 NM
SOUTH OF MOLOKINI...MOVING SOUTHWEST AT 15 KNOTS.","MARINERS CAN EXPECT GUSTY WINDS...HIGH WAVES...DANGEROUS LIGHTNING...
AND HEAVY RAINS. BOATERS SHOULD SEEK SAFE HARBOR IMMEDIATELY UNTIL
THIS STORM PASSES.

",Alenuihaha Channel,2017-02-28,06:58:53,Severe,3.0,3.0,0.0
NWS-IDP-PROD-2263745-2128136,2017-03-01T22:29:43.000Z,Actual,Cancel,NWS Birmingham AL,Severe Weather Statement,['Shelter'],Immediate,Severe,Observed,Severe Weather Statement issued March 1 at 4:29PM CST expiring March 1 at 4:45PM CST by NWS Birmingham AL,"The storm which prompted the warning has moved out of the area.
Therefore the warning has been cancelled.

A tornado watch remains in effect until 600 PM CST for west central
Alabama.

A severe thunderstorm watch remains in effect until 900 PM CST for
west central Alabama.","

",Greene,2017-03-01,22:29:43,Minor,3.0,1.0,-2.0
NWS-IDP-PROD-2252248-2116999,2017-02-22T17:23:58.000Z,Actual,Alert,NWS Goodland KS,Red Flag Warning,['Prepare'],Expected,Severe,Likely,Red Flag Warning issued February 22 at 10:23AM MST expiring February 23 at 6:00PM MST by NWS Goodland KS,"The National Weather Service in Goodland has issued a Red Flag
Warning for wind and low relative humidity...which is in effect
from 11 AM MST /noon CST/ to 6 PM MST /7 PM CST/ Thursday.

* Affected Area...In Colorado...Fire Weather Zone 254 Cheyenne.
In Kansas...Fire Weather Zone 027 Wallace...Fire Weather Zone
028 Logan...Fire Weather Zone 029 Gove...Fire Weather Zone 041
Greeley and Fire Weather Zone 042 Wichita.

* Winds...Southwest 20 to 30 mph with gusts up to 45 mph.

* Relative Humidity...As low as 12 percent.

* Impacts...Any fires that start will have extreme fire behavior
and spread rapidly. Outdoor burning is not advised.","A Red Flag Warning means that critical fire weather conditions
are either occurring now...or are imminent. A combination of
strong winds...low relative humidity...and warm temperatures can
contribute to extreme fire behavior.

",Cheyenne; Gove; Greeley; Logan; Wallace; Wichita,2017-02-22,17:23:58,Severe,3.0,3.0,0.0
NWS-IDP-PROD-2171478-2031842,2016-12-22T12:34:02.000Z,Actual,Alert,NWS Eureka CA,Winter Weather Advisory,['Execute'],Expected,Moderate,Likely,Winter Weather Advisory issued December 22 at 4:33AM PST expiring December 23 at 10:00PM PST by NWS Eureka CA,"THE WINTER STORM WATCH IS NO LONGER IN EFFECT.

* SNOW ACCUMULATIONS...1 TO 3 INCHES ABOVE 2500 FEET...AND 8 TO
14 INCHES ABOVE 4500 FEET.

* LOCATIONS IMPACTED...WILLOW CREEK...ORLEANS...WEAVERVILLE...BURNT
RANCH...TRINITY CENTER.

* HIGHWAYS IMPACTED...199...299...AND 3.

* FOR A DETAILED VIEW OF THE HAZARD AREA...VISIT
HTTP://WWW.WEATHER.GOV/EUREKA/HAZARDS...","A WINTER WEATHER ADVISORY FOR SNOW MEANS THAT PERIODS OF SNOW
WILL CAUSE PRIMARILY TRAVEL DIFFICULTIES. BE PREPARED FOR SNOW
COVERED ROADS AND LIMITED VISIBILITIES...AND USE CAUTION WHILE
DRIVING.

",Humboldt; Trinity; Del Norte,2016-12-22,12:34:02,Minor,2.0,1.0,-1.0
NWS-IDP-PROD-2160412-2019491,2016-12-14T21:13:50.000Z,Actual,Update,NWS Wilmington OH,Wind Chill Advisory,['Prepare'],Expected,Moderate,Likely,Wind Chill Advisory issued December 14 at 4:13PM EST expiring December 15 at 2:00PM EST by NWS Wilmington OH,"* HAZARD TYPES...COLD WIND CHILL READINGS.

* WIND CHILL READINGS...AS LOW AS 18 BELOW.

* IMPACTS...THE FRIGID CONDITIONS WILL BE DANGEROUS TO THOSE
VENTURING OUTSIDE. EXPOSURE MAY CAUSE FROSTBITE.

* WINDS...WEST 10 TO 20 MPH WITH GUSTS UP TO 30 MPH.

* TEMPERATURES...2 TO 15 ABOVE.","USE COMMON SENSE AND DRESS WARMLY WITH LAYERS OF CLOTHING AND A
HAT IF VENTURING OUTDOORS... MAKING SURE THAT YOUR SKIN IS
COVERED AS MUCH AS POSSIBLE. FROST BITE AND HYPOTHERMIA CAN OCCUR
IF PRECAUTIONS ARE NOT TAKEN.

",Miami; Shelby; Darke; Auglaize; Champaign; Clark; Hardin; Logan; Madison; Mercer; Union,2016-12-14,21:13:50,Severe,2.0,3.0,1.0
NWS-IDP-PROD-2248184-2112789,2017-02-18T16:34:24.000Z,Actual,Update,NWS San Francisco CA,Small Craft Advisory,['Avoid'],Expected,Minor,Likely,Small Craft Advisory issued February 18 at 8:33AM PST expiring February 19 at 6:00AM PST by NWS San Francisco CA,"A SMALL CRAFT ADVISORY REMAINS IN EFFECT UNTIL 6 AM PST SUNDAY.

* WINDS AND WAVES: SEE THE COASTAL WATERS FORECAST (CWFMTR) OR
OUR MARINE PAGE AT HTTP://WEATHER.GOV/SANFRANCISCO/MARINE.PHP
FOR MORE DETAILS.","A SMALL CRAFT ADVISORY MEANS THAT WIND SPEEDS OF 21 TO 33 KNOTS
ARE EXPECTED TO PRODUCE HAZARDOUS WAVE CONDITIONS TO SMALL CRAFT.
INEXPERIENCED MARINERS...ESPECIALLY THOSE OPERATING SMALLER
VESSELS SHOULD AVOID NAVIGATING IN THESE CONDITIONS.

",Coastal Waters from Point Pinos to Point Piedras Blancas California out to 10 nm,2017-02-18,16:34:24,Minor,1.0,1.0,0.0
NWS-IDP-PROD-2249068-2113789,2017-02-19T23:18:28.000Z,Actual,Update,NWS Sacramento CA,Wind Advisory,['Execute'],Expected,Moderate,Likely,Wind Advisory issued February 19 at 3:18PM PST expiring February 20 at 4:00PM PST by NWS Sacramento CA,".A strong Pacific storm will bring potentially damaging winds to 
northern California as it approaches and moves through the region.
Breezy winds today and Monday will peak Monday evening through the
night as this system pushes through. Downed trees and widespread,
long-lasting power outages are likely especially Monday evening. 
Blowing debris hazards are also possible.The National Weather Service in Sacramento has issued a High Wind
Warning, which is in effect from 4 PM Monday to 4 AM PST Tuesday.
The High Wind Watch is no longer in effect.

* TIMING...Gusty winds this evening and Monday will maximize
Monday evening. Winds will decrease overnight Monday with
relatively light breezes on Tuesday.

* WINDS...Winds increasing to 20 to 30 mph with gusts to 45 mph by
late Monday morning. Winds peaking Monday evening into early
Tuesday morning, with gusts of 50 to 65 mph.

* IMPACTS...Downed trees, blowing debris, and widespread,
potentially long-lasting power outages.","A High Wind Warning means a hazardous high wind event is expected
or occurring. Sustained wind speeds of at least 40 mph or gusts
of 58 mph or more can lead to property damage.

A Wind Advisory means that winds of 35 mph are expected. Winds
this strong can make driving difficult, especially for high
profile vehicles. Use extra caution.

",Stanislaus; Yolo; Placer; Amador; Calaveras; San Joaquin; Sutter; Tuolumne; El Dorado; Solano; Sacramento,2017-02-19,23:18:28,Severe,2.0,3.0,1.0
